variant,date,param,kind,unit,value_conc,below_lod,raw,pumped_volume_l,lab_no,source_file,treatment,treatment_group,treatment_group_label,soil,sensor,phase,experiment_start_date,days
000.A,2022-08-16,Mg,ion,umol/l,905.1635465953508,False,22,0.8,AP2244546,CDIFUE21_AB2210679.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,93
000.A,2022-08-16,NO2,ion,umol/l,0.0,True,"<0,05",0.8,AP2244546,CDIFUE21_AB2210679.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,93
000.A,2022-08-16,NO3,ion,umol/l,16.127991742468225,False,1,0.8,AP2244546,CDIFUE21_AB2210679.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,93
000.A,2022-08-16,Na,ion,umol/l,2000.869943453676,False,46,0.8,AP2244546,CDIFUE21_AB2210679.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,93
000.A,2022-08-16,O2_mg_per_l,direct,mg/l,,False,-,0.8,AP2244546,CDIFUE21_AB2210679.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,93
000.A,2022-08-16,SO4,ion,umol/l,1145.1176348115762,False,110,0.8,AP2244546,CDIFUE21_AB2210679.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,93
000.A,2022-08-16,Si,ion,umol/l,192.26660969878233,False,5.4,0.8,AP2244546,CDIFUE21_AB2210679.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,93
000.A,2022-08-16,pH_field,direct,pH,7.14,False,7.14,0.8,AP2244546,CDIFUE21_AB2210679.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,93
000.A,2022-08-16,pH_lab,direct,pH,7.34,False,7.34,0.8,AP2244546,CDIFUE21_AB2210679.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,93
000.A,2022-08-16,sum_anions_meq_per_l,direct,meq/l,10.2744200351058,False,10.2744200351058,0.8,AP2244546,CDIFUE21_AB2210679.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,93
000.A,2022-08-16,sum_cations_meq_per_l,direct,meq/l,10.5306484375822,False,10.5306484375822,0.8,AP2244546,CDIFUE21_AB2210679.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,93
000.A,2022-08-16,temp_air_degC,direct,degC,28.0,False,28,0.8,AP2244546,CDIFUE21_AB2210679.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,93
000.A,2022-08-16,temp_pH_lab_degC,direct,degC,18.9,False,18.9,0.8,AP2244546,CDIFUE21_AB2210679.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,93
000.A,2022-08-16,temp_water_field_degC,direct,degC,19.5,False,19.5,0.8,AP2244546,CDIFUE21_AB2210679.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,93
000.A,2022-08-30,Al,ion,umol/l,0.0,True,"<0,02",22.0,AP2246939,CDIFUE21_AB2211254.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,107
000.A,2022-08-30,Ca,ion,umol/l,4740.75552672289,False,190,22.0,AP2246939,CDIFUE21_AB2211254.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,107
000.A,2022-08-30,Cl,ion,umol/l,5077.144388345133,False,180,22.0,AP2246939,CDIFUE21_AB2211254.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,107
000.A,2022-08-30,DOC,ion,umol/l,999.084172841562,False,12,22.0,AP2246939,CDIFUE21_AB2211254.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,107
000.A,2022-08-30,EC_field_uS_per_cm_25degC,direct,uS/cm,1353.0,False,1353,22.0,AP2246939,CDIFUE21_AB2211254.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,107
000.A,2022-08-30,EC_lab_uS_per_cm_25degC,direct,uS/cm,1341.0,False,1341,22.0,AP2246939,CDIFUE21_AB2211254.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,107
000.A,2022-08-30,Fe,ion,umol/l,0.41185423941266,False,0.023,22.0,AP2246939,CDIFUE21_AB2211254.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,107
000.A,2022-08-30,HCO3,ion,umol/l,4933.051444679351,False,301,22.0,AP2246939,CDIFUE21_AB2211254.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,107
000.A,2022-08-30,HCO3_hardness_dH,direct,dH,13.8,False,13.8,22.0,AP2246939,CDIFUE21_AB2211254.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,107
000.A,2022-08-30,K,ion,umol/l,99.74934779272596,False,3.9,22.0,AP2246939,CDIFUE21_AB2211254.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,107
000.A,2022-08-30,Kb8.2_mmol_per_l,direct,mmol/l,0.43,False,0.43,22.0,AP2246939,CDIFUE21_AB2211254.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,107
