variant,treatment,treatment_label,treatment_group,treatment_group_label,soil,soil_name,sensor,phase,experiment_start_date,date,days,TA_umol_per_l,sampling_interval_days,rain_interval_mm,temp_mean_interval_C,rain_interval_onsite_mm,temp_mean_interval_onsite_C,TA_flux_mmol_per_m2_pumped,TA_cum_mmol_per_m2_pumped,TA_CO2_t_per_ha_per_yr_pumped,TA_CO2cum_t_per_ha_pumped,TA_flux_mmol_per_m2_avgBD,TA_cum_mmol_per_m2_avgBD,TA_CO2_t_per_ha_per_yr_avgBD,TA_CO2cum_t_per_ha_avgBD,TA_flux_mmol_per_m2_dumpmodel,TA_cum_mmol_per_m2_dumpmodel,TA_CO2_t_per_ha_per_yr_dumpmodel,TA_CO2cum_t_per_ha_dumpmodel
000.C,000,Control,000,Control,FUERTH2022,Fürth 2022,False,2022,2022-05-15,2022-09-13,121,4654.440565743973,14.0,34.8,17.264285714285716,21.4,,34.39241797347763,725.1633256370205,0.3948811469483873,0.3191371279795963,34.39241797347763,725.1633256370205,0.3948811469483873,0.3191371279795963,34.39241797347763,725.1633256370205,0.3948811469483873,0.3191371279795963
000.C,000,Control,000,Control,FUERTH2022,Fürth 2022,False,2022,2022-05-15,2022-10-11,149,4785.551567595916,28.0,82.9,10.832142857142856,76.6,,64.82890054625008,789.9922261832705,0.3721708462436092,0.3476676788209955,64.82890054625008,789.9922261832705,0.3721708462436092,0.3476676788209955,64.82890054625008,789.9922261832705,0.3721708462436092,0.3476676788209955
000.C,000,Control,000,Control,FUERTH2022,Fürth 2022,False,2022,2022-05-15,2022-11-15,184,4277.496435419636,35.0,39.5,11.151428571428571,36.6,,105.35705505959692,895.3492812428675,0.4838684476691505,0.3940342651821735,105.35705505959692,895.3492812428675,0.4838684476691505,0.3940342651821735,105.35705505959692,895.3492812428675,0.4838684476691505,0.3940342651821735
000.C,000,Control,000,Control,FUERTH2022,Fürth 2022,False,2022,2022-05-15,2022-12-12,211,3556.3859252339507,27.0,44.30000000000001,2.8000000000000003,39.0,,157.67228239953477,1053.0215636424025,0.93869242913083,0.4634242599433847,157.67228239953477,1053.0215636424025,0.93869242913083,0.4634242599433847,157.67228239953477,1053.0215636424025,0.93869242913083,0.4634242599433847
000.C,000,Control,000,Control,FUERTH2022,Fürth 2022,False,2022,2022-05-15,2023-01-17,247,3310.552796761558,36.0,64.39999999999999,4.558333333333334,47.2,,171.23548948766677,1224.257053130069,0.7645801237275308,0.538783286512012,171.23548948766677,1224.257053130069,0.7645801237275308,0.538783286512012,171.23548948766677,1224.257053130069,0.7645801237275308,0.538783286512012
000.C,000,Control,000,Control,FUERTH2022,Fürth 2022,False,2022,2022-05-15,2023-02-14,275,2917.2197912057295,28.0,37.0,0.2178571428571428,8.199999999999996,,100.59378590364584,1324.850839033715,0.5774905036357871,0.5830536057503476,100.59378590364584,1324.850839033715,0.5774905036357871,0.5830536057503476,100.59378590364584,1324.850839033715,0.5774905036357871,0.5830536057503476
000.C,000,Control,000,Control,FUERTH2022,Fürth 2022,False,2022,2022-05-15,2023-03-13,302,2671.386662733337,27.0,50.099999999999994,4.725925925925925,32.2,,72.37747115779976,1397.2283101915143,0.4308949117848383,0.6149062070321836,72.37747115779976,1397.2283101915143,0.4308949117848383,0.6149062070321836,72.37747115779976,1397.2283101915143,0.4308949117848383,0.6149062070321836
000.C,000,Control,000,Control,FUERTH2022,Fürth 2022,False,2022,2022-05-15,2023-04-17,337,2851.664290279758,35.0,57.99999999999999,7.462857142857144,39.400000000000006,,98.33325138895717,1495.5615615804718,0.4516105511578739,0.6581816876359498,98.33325138895717,1495.5615615804718,0.4516105511578739,0.6581816876359498,98.33325138895717,1495.5615615804718,0.4516105511578739,0.6581816876359498
000.C,000,Control,000,Control,FUERTH2022,Fürth 2022,False,2022,2022-05-15,2023-05-16,366,3294.163921530065,29.0,62.2,11.820689655172414,29.6,,24.341112720665503,1519.9026743011373,0.1349193233988297,0.6688939679331874,24.341112720665503,1519.9026743011373,0.1349193233988297,0.6688939679331874,24.341112720665503,1519.9026743011373,0.1349193233988297,0.6688939679331874
000.C,000,Control,000,Control,FUERTH2022,Fürth 2022,False,2022,2022-05-15,2023-06-20,401,3113.8862939836436,35.0,62.6,17.525714285714287,14.8,,23.00901202450968,1542.911686325647,0.1056724196059064,0.6790200040350539,23.00901202450968,1542.911686325647,0.1056724196059064,0.6790200040350539,23.00901202450968,1542.911686325647,0.1056724196059064,0.6790200040350539
